experiment,eval_split,mae,rmse,mape,daily_mae,daily_rmse,daily_mape
E05_norm_plus_daily_calibration,test1,0.0031364053081131263,0.007367492425155121,1.3847203496230769,0.025841452010622913,0.03928111766943495,0.1016720302294968
E05_norm_plus_daily_calibration,test2,0.0019443450126420628,0.004248785423641424,1.830828914385168,0.0411021887333707,0.0558442412450374,0.6483100988869605
E05_norm_plus_daily_calibration,train,0.0021573196914262643,0.004771140033309404,41.5541248175704,0.0016889950846225082,0.0022996306659482453,0.007343225519791313
E05_norm_plus_daily_calibration,valid_seen,0.0025991977896555308,0.006526856446281965,57.34416056237091,0.018114002163185188,0.03696965730062822,0.07574002517985821
E05_norm_plus_daily_calibration,valid_unseen,0.0023009666769070224,0.005280897513427406,753.8810828282816,0.05445522057166334,0.07923044653762505,0.164299934608673
E05_norm_plus_daily_calibration,combined_validation,,,,,,0.1200199798942656
E07_validated_blend,test1,0.0031368060688062803,0.007344420737210357,1.3686676904820667,0.023647946379896492,0.0368476157703753,0.09045276611790552
E07_validated_blend,test2,0.0018769398730607372,0.004150587488025073,1.7009848861211947,0.04230348262340048,0.055939908263343385,0.539199150117025
E07_validated_blend,train,0.002157314712899897,0.0047709424665561126,41.92629586405751,0.0016385913571489471,0.0022946341954331634,0.007178706163447035
E07_validated_blend,valid_seen,0.002595793259148265,0.006501198886980133,57.07555750646941,0.017029367086136712,0.034513793495193526,0.07262987690325053
E07_validated_blend,valid_unseen,0.0023187660971480616,0.005285363182598753,759.7465283454692,0.05584753113860041,0.08285282318915038,0.16399718283241269
E07_validated_blend,combined_validation,,,,,,0.11831352986783161
E08_history_dynamic_fallback,test1,0.0031368060688062803,0.007344420737210357,1.3686676904820667,0.023647946379896492,0.0368476157703753,0.09045276611790552
E08_history_dynamic_fallback,test2,0.0017509038994504267,0.003973844458060612,1.4027907057378752,0.04790967419075465,0.06472775670002404,0.2996917086818355
E08_history_dynamic_fallback,train,0.002157314712899897,0.0047709424665561126,41.92629586405751,0.0016385913571489471,0.0022946341954331634,0.007178706163447035
E08_history_dynamic_fallback,valid_seen,0.002595793259148265,0.006501198886980133,57.07555750646941,0.017029367086136712,0.034513793495193526,0.07262987690325053
E08_history_dynamic_fallback,valid_unseen,0.002378374655038698,0.005369637478771968,773.4342507347743,0.06359462436703492,0.0972221631662244,0.17912085911386294
E08_history_dynamic_fallback,combined_validation,,,,,,0.12587536800855673
E09_low_output_guard,test1,0.0031368060688062803,0.007344420737210357,1.3686676904820667,0.023647946379896492,0.0368476157703753,0.09045276611790552
E09_low_output_guard,test2,0.001719514683665618,0.003961332869536619,1.2505602218861664,0.04729553652519784,0.06483747146277541,0.2356030794000127
E09_low_output_guard,train,0.002157314712899897,0.0047709424665561126,41.92629586405751,0.0016385913571489471,0.0022946341954331634,0.007178706163447035
E09_low_output_guard,valid_seen,0.002595793259148265,0.006501198886980133,57.07555750646941,0.017029367086136712,0.034513793495193526,0.07262987690325053
E09_low_output_guard,valid_unseen,0.002373034132535908,0.005364914718489744,773.412718518891,0.06469098642196887,0.09763108269693099,0.18492189216954433
E09_low_output_guard,combined_validation,,,,,,0.12877588453639743
E10_precision_low_output_guard,test1,0.0031368060688062803,0.007344420737210357,1.3686676904820667,0.023647946379896492,0.0368476157703753,0.09045276611790552
E10_precision_low_output_guard,test2,0.0017307404791742237,0.003971137142482872,1.2466606202136732,0.04657441549659948,0.06451145061300187,0.18678680784822865
E10_precision_low_output_guard,train,0.002157314712899897,0.0047709424665561126,41.92629586405751,0.0016385913571489471,0.0022946341954331634,0.007178706163447035
E10_precision_low_output_guard,valid_seen,0.002595793259148265,0.006501198886980133,57.07555750646941,0.017029367086136712,0.034513793495193526,0.07262987690325053
E10_precision_low_output_guard,valid_unseen,0.0023766139395734105,0.0053690341846559676,773.4156486672488,0.06357948833151933,0.09721795304369117,0.17784159525118717
E10_precision_low_output_guard,combined_validation,,,,,,0.12523573607721886
E11_piecewise_low_output_guard,test1,0.0031368060688062803,0.007344420737210357,1.3686676904820667,0.023647946379896492,0.0368476157703753,0.09045276611790552
E11_piecewise_low_output_guard,test2,0.0017324708263347442,0.003970977851761474,1.2720629037262627,0.04646719914397939,0.06444368981106484,0.19061778387940154
E11_piecewise_low_output_guard,train,0.002157314712899897,0.0047709424665561126,41.92629586405751,0.0016385913571489471,0.0022946341954331634,0.007178706163447035
E11_piecewise_low_output_guard,valid_seen,0.002595793259148265,0.006501198886980133,57.07555750646941,0.017029367086136712,0.034513793495193526,0.07262987690325053
E11_piecewise_low_output_guard,valid_unseen,0.002376940469760287,0.005369106930942963,773.420163424056,0.06354014586718384,0.09721247152019406,0.1766333696840806
E11_piecewise_low_output_guard,combined_validation,,,,,,0.12463162329366556
E06_seen_new_branch,test1,0.0031364053081131263,0.007367492425155121,1.3847203496230769,0.025841452010622913,0.03928111766943495,0.1016720302294968
E06_seen_new_branch,test2,0.0017509038994504267,0.003973844458060612,1.4027907057378752,0.04790967419075465,0.06472775670002404,0.2996917086818355
E06_seen_new_branch,train,0.0021573196914262643,0.004771140033309404,41.5541248175704,0.0016889950846225082,0.0022996306659482453,0.007343225519791313
E06_seen_new_branch,valid_seen,0.0025991977896555308,0.006526856446281965,57.34416056237091,0.018114002163185188,0.03696965730062822,0.07574002517985821
E06_seen_new_branch,valid_unseen,0.002378374655038698,0.005369637478771968,773.4342507347743,0.06359462436703492,0.0972221631662244,0.17912085911386294
E06_seen_new_branch,combined_validation,,,,,,0.12743044214686058
